text,label
"باب الصاله العلوي تم رفع عدة مرات صيانه ولم يتم اصلاحه بشكل المطلوب بسبب خطاء في مقاسات الاطار وتم ذكرها عدة مرات وجب التبديل الروائح في دورات المياه مزعجه جداً ولم تختفي وسيفون عطلان دورة المياه في غرفة العاملة الماء لايذهب للصرف باب الكراج عطلان لايعمل اتمنى الزياره تكون يوم السبت صباحاً",doors_windows
"المياه بداخل الخزان  متسخه والخزان مليان اوساخ وشوائب بحاجة للتنظيف لعدم وجود غطاء",cleaning
"تشقاقات وانتفاخات في البوية واللوان غير مطابقة",paints
"يوجد تسريب ماء بجدار غرفة النوم الاولى",waterproofing
"توجد مشاكل في الحمام!  يوجد التماس في الكهرباء",plumbing
"اثنان من نقاط نوزيع المياه الخارجية تسرب رغم غلقها تحتاج تغيير",plumbing
"الحوش عندي من جهة الحديقة في نزول غير طبيعي",grading
"السلام عليكم ورحمة الله وبركاته يوجد تاخير عند تشغيل الانارة وتاشير بعض الانارات يرجى تزويدي بتقرير الاحمال بالطبلون الداخلي والخارجي علما بانه لم يتم تركيب المكيفات ويرجى فحص الكهرباء بالبمنى بشكل كامل وتمديدات الكهرباء للمكيفات في اسرع وقت وشكرا لنتعاونكم",electricity
"مشكلة تسرب الماء بعد استخدام السيفون بحمام الضيوف لازالت المشكلة موجودة وهذه المرة الثالثة اطلب تغيير السيفون ولم يتم تغييره فقط ما تم عليه هو اصلاح وتعديل على القطعة الموجودة  اطالب بتغيير قطع  السيفون كاملاً والذي يتسبب بتسرب الماء بعد استخدامه https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/ms1subr4405gzw1ms1subr51ms1subr6.png",plumbing
"انسداد التصريف https://retal-objects.yukiroad.ovh/tickets/pictures/ms6neaukeey3l1ms6neaul1ms6neaum.png",plumbing
"لدي باب غرفه لايقفل وايضا باب الكراج لايفتح",doors
"خزان مكسور",plumbing
"تقشر البوية في الدور الثالث",paints
"وجود رطوبة بجدران الحوش الخارجي",waterproofing
"يوجد تشققات في درج الدور الثاني",cracks
"يوجد تسرسب  ماء في حنفيه الماء https://retal-objects.yukiroad.ovh/tickets/pictures/ms67x2kdeey3l1ms67x2ke1ms67x2kf.png",plumbing
"السلام عليكم يوجد تشققات خارجيه الرجاء طلاء المنزل بشكل سريع",cracks
"مشكلة في تمديدات المكيفات png",ac_ventilation
"باب دورة المياه يحتاج تعديل  png",doors
"البلاط فيه فراغات وتجمع للنمل بكل مكان مرفق بالصور",ceramics
"ترويبة طايحة / مكسورة",grading
"الجبس تم اصلاحه من قبل الصيانه لديكم واتضح يوجد اختلاف في البوية ( درجة اللون) وكذالك يوجد تشققات",paints
"طلب صيانه لمعالجه السور ولم تكمل الصيانه دهن السور بعد المعالجة",paints
"فجوة في بلاط الدر يجب معالتجها بالترويبه.",grading
"توفير مخلفات كقطع غيار للجبس بورد",cleaning
"احتاج الى اعادة دهان خارجي https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/me4ao5tp405gzp1me4ao5tq1me4ao5tr.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/me4aojur405gzp1me4aojus1me4aojut.png",paints
"حسب الصور والفيديو المرفق، باب الكراج متعطل  وحسب كلام الفني انه ربما يحتاج الى تغيير. ايضا بسبب عدم عمله المتسق تم تقشير لون البويا للباب.  h",garage_door
"ارغب بالتاكد من صنبور الماء بالحوش المياة حارة جدا واعتقد انها مشبوكه بالسخان",plumbing
"عطل في الباب  g",doors
"وجود روائح صرف صحي في دورات المياة",drainage
"تشققات وحكات وسقوط البويه لأغلب سور الحوش يرجى دهن السور كامل تم رفع شكوى سابقه ولم يتم معالجة السور بالشكل الصحيح والمطلوب",paints
"لايوجد انسياب للتخلص من المياه لبلاط الجهة الخلفية من المنزل",grading
"مع المطر حصل بعض التسريب من نافذة المطبخ ومن السطح في نفس البناء j",waterproofing
"الباب الرئيسي للوحدة",doors
"يوجد خدش في باب المطبخ",doors_windows
"رائحة مزعجة جداً في حمامين فقط قبل السكن ومع السكن والاستخدام لاتزال الرائحة قائمة!    --  قفل باب الزجاج المطل على الحديقة الخلفية لا يعمل!",drainage
"الشباك للنافذه لايوجد  شبك السطح خربان العلوي  السطح العلوي يوجد ملاحظة تشقق  النمل  باب الالمنيوم السحاب للسطح لايعمل",doors_windows
"التماس كهرب  في  غرف الدور الأول  عند تشغيل جميع الانوار  كذلك اضاءة لوحة ترقيم الفيلا",electricity
"ميول الارضيه للشارع",grading
"يوجد تسريب في السطح ورائحة كريهة من دورة المياه",smells
"مرفق بالتقرير الملاحظات",plumbing
"مغاسل وحمام مجلس الرجال تشققات بين المغاسل والجدار",cracks
"باب الكراج ينفتح لحاله كل شوي",garage_door
"لايوجد غطاء للخزان الارضي",tank_insulation
"كسر بسيط في الجدار  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mezxg1ae405gzp1mezxg1af1mezxg1ag.png",cracks
"انسداد مجرى الماء في دورات المياة ووجود روائح كريهة في دورات مياة اخرى.png",smells
"التوماتيك حق الدينمو العلوي عطلان يشتغل على طول ولا يفصل",plumbing
"لدي هذا الباب  لا يقفل",doors
"روائح صرف صحي في دورات المياة مزعجة جدا",smells
"الباب من الجهه اليمنى ما يتقفل",doors
"خروج البلاط من مكانه بالحوش والدور الارضي والعلوي سوء تركيب",ceramics
"الشبك  طايح",doors_windows
"تسريب في المغاسل",plumbing
"الفيش عللي فالدور الارضي المؤدي الدرج للدور الاول معكوس اللي يطفي يشغل الاضاءة  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mfdhtwi4405gzp1mfdhtwi51mfdhtwi6.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mfdhtxjw405gzp1mfdhtxjx1mfdhtxjy.png",electricity
"يوجد مشكلة باغلاق وفتح اللمبات من الفيش المخصص لذلك في حمام الغرفة الرئيسية و صالة الدور الثالث (السطح)  حيث انها سيئه في التركيب وتحتاج اعادة تركيب   ارجو معالجتها وشكرا    https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mf9zend3405gzp1mf9zend41mf9zend5.png",electricity
"شبك الحشرات في شباك الصاله قصير ولا يثبت على المسار",doors_windows
"السلام عليكم احتاج صيانه دورة مياه الإفرنجي عدم صب مويه شكرا لكم رقم الفله  670 رقم بلك 31 شكرا لكم",plumbing
"الاضاءة خربانه",electricity
"روائح كهريه في الحمامات بالاضافة إلى دخول الفئران من الصرف الصحي",drainage
"معالجة الكركات  افياش الكهرباء  اباب الالمنيوم",paints
"يوجد غطا اثنين كراسي الحمام مكسورة",plumbing
"تهريب بماسورة الحوش",plumbing
"كسر في الخزان",plumbing
"عدم  القفل",doors_windows
"استلمت الفيلا على اساس يتم معالجة الملاحظات في يوم التسليم ولها ٣ اسابيع ولا تم شي... وعمال البويه عالجو التشققات بلون بويه مختلف وبشكل مشوه",paints
"مشكلة في ميول البلاط مما أدى تجميع مياه الامطار في الفناء الخلفي للمنزل",grading
"بوجد تسريب مياه في السقف",waterproofing
"الان نطلب منكم تبديل كوع الصرف لكي نتمكن من اكمل الاعمال. بالاضافة الى ماسورة دورة المياه لم يتم ربط التصريف",plumbing
"لم يتم اغلاق الفتحات بين البلاطات في جميع ارجاء المنزل",ceramics
"عندي مشكلة بعوامه الخزان العلوي حيث قامت بتهريب كميه كبيره من الماء",pumps
"تجمع مياه في دورة المياه مشكلة في التصريف  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/ms0kdyjz405gzw1ms0kdyk01ms0kdyk1.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/ms0kdztc405gzw1ms0kdztd1ms0kdzte.png",plumbing
"السلام عليكم يعطيكم العافية عندي بعض الابواب لا يوجد فيها مفاتيح وكذلك بعض الابواب لا اتمكن من اقفالها الا في حال قفل الباب بالمفتاح شاكر ومقدر",doors
"تسريب في شطافه دورة المياه وعندي رائحه شينه بالحمام",plumbing
"يرجى عمل وزنية لجميع الابواب المعدنية والابواب الالمنيوم",doors_windows
"رطوبة السور من جميع النواحي",waterproofing
"الخزان الارضي متصدع!! فضلاً الزيارة باقرب وقت للحفاض على الماء",tank_insulation
"يوجد تسريب من اسفل المغسلة الداخلية لحمام المجلس الرئيسي",plumbing
"نعله مكسوره + فيش لا يعمل",doors_windows
"تسريب ولا يتم تعبئته الخزان العلوي",pumps
"الجرس مايشتغل",electricity
"يوجد لدي تهريب في المغاسل  ورائحة في أحد دورات المياة",plumbing
"لدي عدة مشكلات من تشقق في الجدران، ومشكلات وكراسي وصنابير دورات المياه، وأيضاً صوت عالي في اكثر من مروحه شفط ، ومشكلات في دهانات داخليه وخارجية ، وأيضاً مشكلة في مضخة الماء الموجودة في سطح المنزل، ومشكلات اصوات وربلات مفقودة في الابواب الداخلية والخارجية والمنزلقه ، وايضاً خدوش في عدة نوافذ وأيضاً مشكلات في ترويبه البلاط والرخام، وكسر في رخام مغسلة النوم الرئيسية، وأيضاً بلاطة مكسورة في احدى غرف النوم  ملاحظة : لدي اكثر من ١٠ صور من الملاحظات",cracks
"1-يوجد لدي حشرات  2-الترويبه للبلاط تحتاج اغلاق في بعض الاماكن  3-الخزان العلوي مكشوف احتاج غطاء  4-باب حمام مجلس الرجال القفل غير مكتمل  5-كرسي الافرنجي لحمام مجلس الرجال منكسر  6-شطاف دوره المياه الي تخدم الصاله عطلان",pest_control
"الخزان الارضي لا  يحتفظ بالمياه نهائيا حتى بدون استخدام مما يدل على وجود كسر او تسريبات",plumbing
"خلل في مقبض نافذة دورة مياه الداخلية حيث لا يمكن اقفالها",doors_windows
"الاغطية مفتوحة حقت الحمامات في الاسقف  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mf6yffo7405gzp1mf6yffo81mf6yffo9.png",drainage
"تشققات خارجيه لايوجد  سيلكون في فاصل التمدد السور الخارجي فيه بقع تحتاج دهان",cracks
"عندي تسريب مويه في الجدار من حهه حمام  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/ms1zlhgk405gzw1ms1zlhgl1ms1zlhgm.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/ms1zlihp405gzw1ms1zlihq1ms1zlihr.png",plumbing
"خزان المياه السفلي والعلوي مشروخ ومقطوع",tank_insulation
"إصلاح تشققات السور الخارجي والبوية رطوبة السور انفتاح البوية",cracks
"النافذة غير محكم الاغلاق  الصالة الدور الارضي الشرفة بالدور العلوي",doors_windows
"وجود كراكات واضحة",cracks
"كسر في بلاط سيراميك دورة مياه غرفة النوم رقم 1 يرجى تبديله",ceramics
"تم انتهاء المياه فالسكن",pumps
"باب الألمنيوم الخارجي يوجد فيه صعوبة عند الفتح",doors_windows
"يوجد رائحة في دورات المياه تحتاج صيانه وحل جذري",plumbing
"السلام عليكم سبق وأن رفعت طلب بشأن وجود شروخ في السطح  ولم يتواصل معي المهندس المدني رغم تأكيدكم لي بأنه سيتواصل معي ولنا اكثر من ٥ أيام واغلقت التذكرة كما أن رصيف مدخل الكراج (في الخارج) مائل لجهة البيت مما يتسبب بعودة المياه لداخل الحوش وتجمعها امام المدخل",cracks
"لدي مشكله في الشباك",doors_windows
"المضخة ماتضغط المياه ومياة المطبخ لا تعمل",plumbing
"تسريب في كرسي الحمام ومواصير علما بان جميع التذاكر السابقة لم يتم حلها",plumbing
"تشققات داخلية وخارجية",cracks
"يوجد تغير في لون البويه الخارجيه وتحتاج فاصل تمدد",paints
"عدم وجود ربل في غرفه الماستر 2",ceramics
"تم تركيب فيش الكهرباء في غرفة النوم بشكل غير صحيح",electricity
"تطبيل بالبلاط",ceramics
"يوجد تسرب في مغاسل دورة المياه",plumbing
"تسريب مويا تصريف بغرفة النوم الرئيسية من البلوعه",drainage
"اضاءة رقم الفلة بالخارج لاتعمل",electricity
"يوجد خلل في الميول في إحدى الحمامات يوجد تشققات في بعض الجدران والاسقف يوجد خلل في عزل شبابيك المنيوم يوجد بلاط داخلي خارج من مكانه يوجد صدأ في اقفال احد أبواب الحمامات يوجد هبوط في أرضية الكراج",grading
"بعض زوايا المنزل مكسوره",cracks
"صيانه الأبواب والسراميك والدرابزين البروفايل  مختلف g",doors_windows
"الدينمو لايعمل",pumps
"مرحبا  فيه تشققات في الغرف العلويه وايضا في السور الخارجي   https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/maxtfu14405gzs1maxtfu151maxtfu16.png",cracks
"وجود كسر في غطاء الخزان الارضي",tank_insulation
"الانتركوت مقابل الكراج جهة الشارع المويل عكسي على الفلة مما يؤدي الى رجوع المياه الى الحوش وتسببلي بمشاكل وايضا فراغات في الانتركوت",grading
"سيفون حمام الضيوف للمرة الثانية يسرب الماء بعد الاستهدام حيث بالمرة الأولى تم فكه وتنظيفه وإلى الآن المشكلة موجودة ويحتاج تغيير قطع السيفون الداخلية.",plumbing
"عدد ٢ لمبه بالحمام خربانه مفتاح خربان https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/ms2efdok405gzw1ms2efdol1ms2efdom.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/ms2eff0p405gzw1ms2eff0q1ms2eff0r.png",electricity
"تسريب المياه بعد المطر",waterproofing
"لانترلوك الي جانب الخزان المياه يحتاج ميوله غير جيد ويحتاج معالجه وجود تجويفات نمل كثيرة تحتاج معالجة  وباب القراج يحتاج برمجه",grading
"يوجد كسر في خزان المياه ويجب تغييره ، الزيارة يوم السبت القادم ١٢ ظهرا",plumbing
"يوجد تسرب ويوجد طلب صيانة غير منجز",plumbing
"عمود التهوية مساوي لأرضية السطوح مما يسبب إلى عودة المياه الوحده",ac_ventilation
"تركيب انارة وافياش الحوش بعد عمل صيانة لجدار الحوش",electricity
"ظهور تشققات بين السقف والجدران وفي الجدران  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mb1xkuyp405gzs1mb1xkuyq1mb1xkuyr.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mb1xl4q3405gzs1mb1xl4q41mb1xl4q5.png https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mb1xlbi0405gzs1mb1xlbi11mb1xlbi2.png",cracks
"السلام عليكم ورحمة الله وبركاته سقف المطبخ يوجد به تشققات ومخزن المطبخ يوجد تسريب مياه من السقف مرفق صور للتوضيح",cracks
"• وجود هبوط في المدخل بعد نزول المطر، مما يسبب تجمع المياه.    • خدش على الباب وبعض الأعمال الأخرى التي تحتاج إلى صيانة.",grading
"عندي انسداد وطفح الماء من جميع فتحات التصريف في دورة مياة الغرفة الرئيسية",plumbing
"يوجد تهريب في البيت",waterproofing
"السلام عليكم، لاحظنا وجود بعض التشققات في جدار المنزل https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/m9scytkh405gzp1m9scytki1m9scytkj.png",cracks
"يوجد تسريب مويه لمبه الصاله موضح في الفديو",plumbing
"تنظيف الخزان مليء بمخلفات البناء",cleaning
"السلام عليكم  انا عندي مشكله بالكهرباء عندي قسمين ما يشتغل الكهرباء فيه لا بالغرف ولا دورة المياه  كذلك دفع المويه جدا سيء",electricity
"تشققات خارجيه في الحوش اعمال واختلاف دهان خارجي في الحوش",cracks
"رائحة كريهة من دورة مياة الملحق",smells
"الفتحة خربانة ما تقفل",gypsum
"الجدار",plumbing
"وجود تشققات في وعدم العزل",cracks
"مفتاح اضاءة احد الغرف عطلان  كذلك فيش فيه عطل لمبة تحتاج تغيير",electricity
"تم التواصل مع م. احمد عادل بخصوص العزل في احواض الزراعة وابلغني برفع طلب من اجل ذلك .. الاسوار متشققه وتحتاج وضع عزل زراعي وإعادة طلاء الاسوار  https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mamcrahw405gzs1mamcrahx1mamcrahy.png",waterproofing
"تسريب الخزان",plumbing
"وجود بعض المشاكل في دورات المياه والعزل",plumbing
"احتاج الى تعديل الانتر لوك المحيط بالخزان الارضي لتعديل منسوب المياه الامطار ، لانه لوحظ بدخول المياه في الخزان الارضي ولم يكون هناك اي موانع لذلك",grading
"عزل اماكن الزراعة في الحوش",waterproofing
"يوجد مشكله في تصريف الماء المواسير مسدوده حاولت ماقرت اخرج الماء يوجد مشاكل ربلات النوافذ وبعض النوافذ صعبه القفل والفتح وبخش بالزجاج يوجد مشكله بالبويه الخارجيه والداخليه يوجد تركيب سيى بالباب السحاب  يحك بالنعله وبخوش بالباب يوجد مشكله في صوت مروحه الحمام الرجال يوجد مشكله بالنعله فيها هواء شقوق يطبل الدور الثاني الغرفه المطله بالسطح يوجد مشكله بالباب الرئيسي يحتاج لجديد لانه معفط ومطعج وهو واجهه البيت اهم شي عندي ارجو ارسال مختصين فنيين لتقيم الوضع وارسال الفنيين لاصلاح المذكور اعلاه البويه الداخليه ممكن اصبغها على حسابي من جديد بس الحوش مقشر لازم يصبغ 0533226980 عبدالله العمري  https://eu",doors
"تحية طيبة  المنطقة محتاجة لياسه داخليه",paints
"باب الكراج صعوبة بالفتح يحتاج تنظيف السكة",garage_door
"لدي بعض الملاحظات في المنزل وارغب بحضور المهندسين لمعالجتها",plumbing
"الجهاز حق الباب لايعمل",garage_door
"يوجد عدة كراكات",cracks
"تسريب",plumbing
"تنظيف الخزان الارضي والعلوي",cleaning
"الخزان الأرضي لفلة رقم 694 مكسور كسرين اسفل الخزان وعليه ارغب في استبداله لأن التسريب الارضي خطير على الفلة امل الاستبدال في اسرع وقت الماء منقطع عن المنزل",plumbing
"وجود فتحات درايش الالمنيوم يجب اغلاقها لعدم تسرب الغبار والمياه لداخل",doors_windows
"يوجد تصدع قوي في جدار الحوش الخلفي المطل على الحديقه",cracks
"بلاط مكسور وترويبات",ceramics
"حوض الحوش الامامي اللي على سور المنزل اللذي بجانبي، البويه بدأت تخرب وتنقشع بسبب عدم وجود عزل. كرما عزل المنطقة وتعديل البوية شكرا",waterproofing
"السلام عليكم عندي دورة المياة بالدور الثاني يوجد تسريب من الفرنجي وكذلك غسالة الملابس تهرب مع العلم ان تم تركيب لي بالطريقه الصحيحه وشكراً لكم",plumbing
"تحية طيبة، ظهور تقشع في الدهان للحوش.  كرما اعادة عمل الدهان بأسرع وقت.  مع الشكر والتقدير",paints
"اصلاح https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mezpdb2h405gzp1mezpdb2i1mezpdb2j.png",doors_windows
"الوحده جدا غير نظيفه و Finishing في اغلب دورات المياه و النوافذ و الأبواب جدا سئ وغير متوقع",cleaning
"مشكله الكهرباء جزء شغال وجزء غير شغال في البيت https://eu2.contabostorage.com/c92d1ab223ed43358d4f98ca65e087d6:eth.retal/tickets/pictures/mfi2skw3405gzs1mfi2skw41mfi2skw5.png",electricity
"ترويب الحوش",grading
"كركات",doors
"احتاج دعمكم في اصلاح مشكلة في رصيف القراج حيث فيها حفرة وبعد الرصيف عن الاسفلت يصعب علي دخول القراج بالسيارة، وايضا عندي بعض شبابيك الغرف لا تغلق بشكل كامل،",grading
"لمبات تحتاج صيانه وبلاط يحتاج ترويب",electricity
"الكرسي المعلق  مشوه في اصفرار بالكرسي  ايضاً السيفون يهرب ماء",plumbing
"وجوددتشطبات بالجدران",paints
"مرفق التقرير",plumbing
"شرخ بالجدار وعودة الملاحظات بعد التعديل+تطبيل",cracks
"يوجد تشقق في جدار",cracks
"السلام عليكم..يوجد ضربه في باب البيت وهذه الضربه موجوده قبل استلام البيت، ارجو الدعم",doors
"توجد عدة ملاظات",pest_control
"روايح بالحمام   وتسريب بالمياه  وتشقق بزوايا الجدران",drainage
"لايوجد انسياب للتخلص من المياه لبلاط الجهة الخلفية من المنزل",grading
"الانتركوت مقابل الكراج جهة الشارع المويل عكسي على الفلة مما يؤدي الى رجوع المياه الى الحوش وتسببلي بمشاكل وايضا فراغات في الانتركوت",drainage
"السلام عليكم ورحمة الله وبركاته   تم تنظيف الخزان الارضي من قبل شركة و تعبئته و الان عند قرب انتهاء ماء الخزان فتحت الخزان للتاكد من وجود الماء لكن تم ملاحظة وجود العديد من الحشرات النمل و الصرصور وهذي تتسبب في مشكلة اذا تم دخولها للخزان علماً بانه تم عمل رش مبيدات حشرية قبل تنظيف الخزان بفترة لكن اتوقع وجود اماكن تظهر منها الحشرات لا بد من التاكد من اللياسة و اغلاق جميع الفتحات التي في الخرسانة الي في الخزان الارضي لضمان بقاء الخزان آمن وعدم دخول حشرات  https://retal-objects.yukiroad.ovh/tickets/pictures/mt4fto6l405gzw1mt4fto6m1mt4fto6n.png https://retal-objects.yukiroad.ovh/tickets/pictures/mt4ftsiz405gzw1mt4ftsj01mt4ftsj1.png",pest_control
"تنظيف الخزان العلوي",cleaning
"بناءً على تواصل مع المهندس حسن تم اقفال التذكرة السابقه وهذا طلب جديد  --  الطلب عبارة عن صيانة عامة للفيلا لوجود ملاحظات بعد الاستلام النهائي، واحتاج ان تكون الصيانة يوم السبت تاريخ 22-11-2025 صباحاً.",doors_windows
"الساده شركة رتال المحترمين تحية طيبة يوجد لدي تهريب في شطاف دورة المياه اجلكم الله ارجو المساعده هذا ولكم خالص الشكر والتقدير",plumbing
"ضبط الزاوية بالاسمنت ثم الدهان",paints
"ارضية كراج السيارة هبطت وانسياب المياه غير صحيح يتطلب تعديل للارضية",structural
"مشاكل في البروفايل",plumbing
"مع التحية احتاج تصليح باب البيت الخارجي",doors_windows
"روائح كريهه في بعض دورات المياه انسداد صفاية الشور للحمام الرئيسي صوت في المجلس الدور الارضي من مواصير الصرف مزعجة",smells
"بعد ما انكسرت ماصورة الخزان دخل تراب كثير للخزان السفلي والعلوي ويوجد هناك تسريب ماء من الماصورة اللي فوق المنزل",plumbing
"مراوح الشفط في الحمامات تحتاج صيانة",ac_ventilation
"يوجد لمبة سبوت لايت لاتعمل ، آمل استبدالها في حال كانت ضمن الصيانة المغطاة",electricity
"بعد طلب تغيير بلاطة مكسورة في غرفة النوم الماستر الاولى تم تغييرها ولكنه يوجد فيها تطبيل وفراغات",ceramics
"احد الحمامات لا تعمل انارتها",electricity
"تهريب مياه في مغسله الماستر",plumbing
"تسريب و وتصدعات",plumbing
"الينمو خربااان، السفلي مليان وهو معطل!",pumps
"مرفق لكم الملاحظات بالتقرير",plumbing
"شرخ بالجدار بين غرفتين  باب المدخل الخشب لايقفل",cracks
"السلام عليكم ورحمة الله وبركاته،  نود إحاطتكم علماً بأنه تم رصد عدد من الملاحظات بعد استلام المنزل، وتستلزم هذه الملاحظات أعمال صيانة وإصلاح واستبدال بعض اعمال السباكة والكهرباء: -سيراميك ورخام المغاسل متضرران ويحتاجان إلى إعادة تركيب. -كراسي الحمّامات بحاجة إلى صيانة. - فتحات صيانة الحمامة لا بمكن اغلاقها بسبب سوء في  التنفيذ - شفاط المطبخ يصدر صوت مزعج جداً وغير طبيعي  نأمل منكم التكرم باتخاذ الإجراءات اللازمة لمعالجة الملاحظات في أقرب وقت ممكن.  وتفضلوا بقبول فائق الاحترام والتقدير،",ceramics
"يوجد تصدع في جدار غرفة النوم وتشقق وكذلك جبس سقف المطبخ",cracks
"الخزان",tank_insulation
"تهريب موية في الشطافات",plumbing
"مرفق محضر المعاينة",plumbing
"تم استلام الفلة ويوجد تعديلات موضحة حسب التقرير المرفق.",plumbing
"ماكينه السحب متعطله",ac_ventilation
"يوجد عدد ٢ حمام تمت معالجة الكراسي فيها ولا زالت الرائحة موجوده لم يتم العمل فيها بالشكل المطلوب وتحتاج الى اعادة معالجة  يوجد مغسله فيها تهريب من الاسفل",drainage
